model,task,seed,split,n_classes,weighted_f1,macro_f1,macro_f1_10,micro_f1,positive_class_f1,no_distortion_f1,no_distortion_wcontrib,truncation_rate,source,averaging,results_dir
mental/mental-bert-base-uncased,multiclass,42.0,val,11,0.375786221607542,0.2015848075265806,0.1632452645638236,0.3506097560975609,,0.5849802371541502,0.2782223079147787,0.0061,empowerlens,,results_codipas
mental/mental-bert-base-uncased,multiclass,42.0,test,11,0.3777006239895982,0.2449232531900286,0.2152489118423649,0.3689024390243902,,0.5416666666666666,0.2411077235772357,0.0122,empowerlens,,results_codipas
mental/mental-bert-base-uncased,multiclass,1337.0,val,11,0.390435919726243,0.2376752636527376,0.2041878880572271,0.3628048780487805,,0.5725490196078431,0.2723098995695839,0.0061,empowerlens,,results_codipas
mental/mental-bert-base-uncased,multiclass,1337.0,test,11,0.3948029602483494,0.2759601717439832,0.2484714431556696,0.3810975609756097,,0.5508474576271186,0.2451942951632906,0.0122,empowerlens,,results_codipas
mental/mental-bert-base-uncased,multiclass,2024.0,val,11,0.3704743138916171,0.2126706926205472,0.1786017935031553,0.3353658536585366,,0.5533596837944664,0.2631832642437096,0.0061,empowerlens,,results_codipas
mental/mental-bert-base-uncased,multiclass,2024.0,test,11,0.4008834827262972,0.2909745493903852,0.2647001035029775,0.3841463414634146,,0.5537190082644629,0.2464724853860109,0.0122,empowerlens,,results_codipas
mental/mental-bert-base-uncased,binary,42.0,val,2,0.7286963689747882,0.728656014426071,,0.7286585365853658,0.729483282674772,,,0.0061,empowerlens,,results_codipas
mental/mental-bert-base-uncased,binary,42.0,test,2,0.7203495971368132,0.7184654426033736,,0.7195121951219512,0.735632183908046,,,0.0122,empowerlens,,results_codipas
mental/mental-bert-base-uncased,binary,1337.0,val,2,0.7252715720434515,0.7243697478991598,,0.725609756097561,0.7428571428571429,,,0.0061,empowerlens,,results_codipas
mental/mental-bert-base-uncased,binary,1337.0,test,2,0.7249563225172981,0.721035721035721,,0.725609756097561,0.7567567567567568,,,0.0122,empowerlens,,results_codipas
mental/mental-bert-base-uncased,binary,2024.0,val,2,0.7105355374937484,0.7102338773422606,,0.7103658536585366,0.7164179104477612,,,0.0061,empowerlens,,results_codipas
mental/mental-bert-base-uncased,binary,2024.0,test,2,0.7230885991724367,0.7203751065643649,,0.7225609756097561,0.7450980392156863,,,0.0122,empowerlens,,results_codipas
mental/mental-bert-base-uncased,multilabel,42.0,val,10,0.3053792998959566,0.2887476057867182,,0.2996632996632997,,,,0.0061,empowerlens,,results_codipas
mental/mental-bert-base-uncased,multilabel,42.0,test,10,0.2937194637441937,0.2904804030863748,,0.2832469775474956,,,,0.0122,empowerlens,,results_codipas
